Word,Class,CEFR,Translation,Meaning,Translation Meaning,Example 1,Example 2,Translation E1,Translation E2,Song/singer,Lyrics,Translation
article,n.,A1,,,,,,,,Beyoncé - Crazy in Love,"The genuine article I do not sing though,","O artigo genuíno que eu não canto,"
articulate,v.,C1,,,,,,,,Jonas Blue - Something Stupid (feat. AWA),One touch and my heart don't articulate,Um toque e o meu coração não se articula
artificial,adj.,B2,,,,,,,,,,
artist,n.,A1,,,,,,,,,,
artistic,adj.,B2,,,,,,,,,,
artwork,n.,B2,,,,,,,,,,
as,prep.,A1,,,,,,,,INNERVERSE - Life with You,As I wait for the day you’ll move on,Enquanto espero pelo dia em que seguirá em frente
as,conj.,A2,,,,,,,,INNERVERSE - Life with You,As I wait for the day you’ll move on,Enquanto espero pelo dia em que seguirá em frente
ash,n.,C1,,,,,,,,,,
ashamed,adj.,B2,,,,,,,,Marshmello - OK Not To Be OK,When you're down and you feel ashamed,Quando se está deprimido e se sente envergonhado
aside,adv.,B2,,,,,,,,Jonas Blue - Mama (feat. William Singe),"But just for the minute, let's push all our troubles aside","Mas apenas por um minuto, vamos deixar todos os nossos problemas de lado"
ask,v.,A1,,,,,,,,Lil Nas X - Old Town Road (feat. Billy Ray Cyrus) - Remix,You can go and ask her,"Se quiser, pode ir vê-la."
asleep,adj.,A2,,,,,,,,INNERVERSE - Life with You,When I’m not still asleep in your arms,Quando ainda não estou dormindo nos seus braços
aspect,n.,B2,,,,,,,,,,
aspiration,n.,C1,,,,,,,,,,
aspire,v.,C1,,,,,,,,,,
assassination,n.,C1,,,,,,,,,,
assault,v.,C1,,,,,,,,,,
assemble,v.,C1,,,,,,,,Paramore - The Only Exception,As he tried to re-assemble it,Enquanto ele tentava remontá-lo
assembly,n.,C1,,,,,,,,,,
assert,v.,C1,,,,,,,,,,
assertion,n.,C1,,,,,,,,,,
assess,v.,B2,,,,,,,,,,
assessment,n.,B2,,,,,,,,,,
asset,n.,B2,,,,,,,,,,
assign,v.,B2,,,,,,,,,,
assignment,n.,B1,,,,,,,,,,
assist,v.,B1,,,,,,,,,,
assistance,n.,B2,,,,,,,,,,
assistant,adj.,A2,,,,,,,,Madonna - American Life,"Three nannies, an assistant","Três babás, uma assistente"
associate,v.,B2,,,,,,,,,,
associated,adj.,B2,,,,,,,,,,
association,n.,B2,,,,,,,,,,
assume,v.,B2,,,,,,,,Able Heart - Whisper,Assume the position,Assumir o cargo
assumption,n.,B2,,,,,,,,,,
assurance,n.,C1,,,,,,,,,,
assure,v.,B2,,,,,,,,,,
astonishing,adj.,B2,,,,,,,,,,
asylum,n.,C1,,,,,,,,,,
at,prep.,A1,,,,,,,,INNERVERSE - Reverie,But we met at the ocean,Mas nos conhecemos no oceano
athlete,n.,A2,,,,,,,,,,
atmosphere,n.,B1,,,,,,,,FISHER - Atmosphere,FISHER — Atmosphere,FISHER — Atmosfera
atrocity,n.,C1,,,,,,,,,,
attach,v.,B1,,,,,,,,,,
attachment,n.,B2,,,,,,,,Cash Cash - Gasoline (feat. Laura White),Caught up in attachment,Apanhado em anexo
attack,v.,A2,,,,,,,,SOFI TUKKER - Throw Some Ass,Give the old man a heart attack,Dar ao velho um ataque cardíaco
attain,v.,C1,,,,,,,,,,
attempt,v.,B2,,,,,,,,,,
attend,v.,A2,,,,,,,,,,
attendance,n.,C1,,,,,,,,,,
attention,exclam.,A2,,,,,,,,Tiësto - The Business,It's been a while since I had your attention,Já faz um tempo desde que eu tive a sua atenção
attitude,n.,B1,,,,,,,,X Ambassadors - BOOM,With a new attitude,Com uma nova atitude
attorney,n.,C1,,,,,,,,,,
attract,v.,B1,,,,,,,,,,
attraction,n.,B1,,,,,,,,Shakira feat. Wyclef Jean - Hips Don't Lie,"The attraction, the tension","A atração, A tensão"
attractive,adj.,A2,,,,,,,,,,
attribute,n.,C1,,,,,,,,,,
auction,n.,B2,,,,,,,,,,
audience,n.,A2,,,,,,,,,,
audio,adj.,B2,,,,,,,,Lady Gaga - G.U.Y.,Lay back and feast as this audio guides you through new and exciting positions,Relaxe e banqueteie-se enquanto este áudio o guia por posições novas e emocionantes
audit,n.,C1,,,,,,,,,,
August,n.,A1,,,,,,,,,,
aunt,n.,A1,,,,,,,,,,
authentic,adj.,C1,,,,,,,,"Ariana Grande - yes, and",Or change my most authentic life,Ou mudar a minha vida mais autêntica
author,n.,A2,,,,,,,,,,
authority,n.,B1,,,,,,,,,,
authorize,v.,C1,,,,,,,,,,
auto,n.,C1,,,,,,,,,,
automatic,adj.,B2,,,,,,,,,,
automatically,adv.,B2,,,,,,,,,,
autonomy,n.,C1,,,,,,,,,,
autumn,n.,A1,,,,,,,,"Gryffin - Heavenly Father (feat. Noah Kahan) - Recorded at Electric Lady Studios, NYC",Is brought to his autumn,É trazido para o seu outono
availability,n.,C1,,,,,,,,,,
available,adj.,A2,,,,,,,,Destiny's Child - Survivor,You available so sensual,Você disponível tão sensual
average,n.,A2,,,,,,,,,,
average,v.,B1,,,,,,,,,,
avoid,v.,A2,,,,,,,,Taylor Swift - The Story of Us,And you're doing your best to avoid me,E está a fazer o seu melhor para me evitar
await,v.,C1,,,,,,,,,,
award,n.,A2,,,,,,,,Rihanna - Take a Bow,"Oh, and the award for the best lie goes to you","Ah, e o prémio para a melhor mentira vai para si"
award,v.,B1,,,,,,,,Rihanna - Take a Bow,"Oh, and the award for the best lie goes to you","Ah, e o prémio para a melhor mentira vai para si"
aware,adj.,B1,,,,,,,,Britney Spears - Make Me...,"Well aware that stealing you is a felony, yeah I know","Bem ciente de que te roubar é um crime, sim, eu sei"
awareness,n.,B2,,,,,,,,,,
away,adv.,A1,,,,,,,,INNERVERSE - Reverie,Don’t ever fall away,Nunca caia
awful,adj.,A2,,,,,,,,,,
awkward,adj.,B2,,,,,,,,,,
baby,n.,A1,,,,,,,,SOMMA - Harder We Fall,"Oh, baby, don't let me wake up without your love","Oh, querida, não me deixe acordar sem o seu amor"
back,adv.,A1,,,,,,,,Just Kiddin - Don't (Fall in Love),It's taking me back,Está a levar-me de volta
back,adj.,A2,,,,,,,,Just Kiddin - Don't (Fall in Love),It's taking me back,Está a levar-me de volta
back,v.,B2,,,,,,,,Just Kiddin - Don't (Fall in Love),It's taking me back,Está a levar-me de volta
backdrop,n.,C1,,,,,,,,,,
background,n.,A2,,,,,,,,Beyoncé - Beautiful Liar,[Background:],Enquadramento
backing,n.,C1,,,,,,,,John Summit - Where You Are,"Backing us, woaaah","Apoiando-nos, woaaah"
backup,n.,C1,,,,,,,,,,
backwards,adv.,B1,,,,,,,,PVRIS - Hallucinations,Falling backwards,Caindo para trás
bacteria,n.,B2,,,,,,,,,,
bad,adj.,A1,,,,,,,,Jethro Heston - Cut Me Loose - Edit,Intentions are good but the music makes me bad,"As intenções são boas, mas a música me faz mal"
badge,n.,B2,,,,,,,,,,
badly,adv.,A2,,,,,,,,,,
bag,n.,A1,,,,,,,,Ariana Grande - 7 rings,"I don't mean to brag, but I be like, ""Put it in the bag,"" yeah","Eu não quero me gabar, mas eu fico tipo, ""Coloque na bolsa"", sim"
bail,n.,C1,,,,,,,,Avril Lavigne - He Wasn't,I think it's time for me to bail (time to bail),Acho que está na hora de eu dar o fora (hora de dar o fora)
bake,v.,B1,,,,,,,,,,
balance,v.,B1,,,,,,,,ARTY - Take Your Time - D.O.D Remix,We keep losing our balance,Continuamos a perder o equilíbrio
balanced,adj.,B2,,,,,,,,Ed Sheeran - Celestial,Hearts balanced on a razor blade,Corações equilibrados numa lâmina de barbear
ball,n.,A1,,,,,,,,Joel Corry - BED,What you sayin'? Wanna ball right now,O que está dizendo? Quer ir para o baile agora
ballet,n.,B2,,,,,,,,Tove Lo - Grapefruit,The swans of ballet,Os cisnes do balé
balloon,n.,B2,,,,,,,,,,
ballot,n.,C1,,,,,,,,,,
ban,n.,B1,,,,,,,,,,
banana,n.,A1,,,,,,,,,,
band,n.,A1,,,,,,,,Surf Mesa - Marching Band,Surf Mesa — Marching Band,Surf Mesa — Banda Marcial
bank (money),n.,A1,,,,,,,,,,
bank (river),n.,B1,,,,,,,,,,
banner,n.,C1,,,,,,,,P!nk - Feel Good Time,Put a banner over my grave,Colocar uma bandeira sobre o meu túmulo
bar,n.,A2,,,,,,,,Gryffin - Piece Of Me (with LOVA),Then you had me at one look at the bar,Então você me fez dar uma olhada no bar
bar,v.,B2,,,,,,,,Gryffin - Piece Of Me (with LOVA),Then you had me at one look at the bar,Então você me fez dar uma olhada no bar
bare,adj.,C1,,,,,,,,Ava Max - Naked,Tell me if it's safe to bare my soul,Diga-me se é seguro desnudar a minha alma
barely,adv.,B2,,,,,,,,Cartoon - On & On,Time is barely on our side,O tempo está quase do nosso lado.
bargain,n.,B2,,,,,,,,Christina Aguilera - Dirrty,"Frankly, it's a rap, no bargain deals","Francamente, é um rap, sem pechinchas"
barrel,n.,C1,,,,,,,,,,
barrier,n.,B2,,,,,,,,,,
base,v.,B1,,,,,,,,Beyoncé - Déjà Vu (feat. Jay-Z),I used to run base like Juan Pierre,Eu costumava correr base como Juan Pierre
baseball,n.,A2,,,,,,,,,,
based,adj.,A2,,,,,,,,,,
basement,n.,B2,,,,,,,,Beyoncé - Baby Boy (feat. Sean Paul),in a dark dark corner of a basement party,num canto escuro e escuro de uma festa no porão
basic,adj.,B1,,,,,,,,,,
basically,adv.,B2,,,,,,,,,,
basis,n.,B1,,,,,,,,,,
basket,n.,B2,,,,,,,,Katy Perry - Swish Swish (feat. Nicki Minaj),Another one in the basket,Mais um no cesto
basketball,n.,A2,,,,,,,,,,
bass1,n.,C1,,,,,,,,,,
bat,n.,B2,,,,,,,,Santana feat. Michelle Branch - The Game of Love,Now we're up to bat,Agora estamos prontos para bater
bat,v.,C1,,,,,,,,Santana feat. Michelle Branch - The Game of Love,Now we're up to bat,Agora estamos prontos para bater
bath,n.,A1,,,,,,,,Britney Spears - Slumber Party,Let's fill up this clawfoot bath with bubbles,Vamos encher este banho de pés de garra com bolhas
bathroom,n.,A1,,,,,,,,Jonas Blue - Naked,When you're laying on my bathroom floor,Quando está deitado no chão da minha casa de banho
battery,n.,B1,,,,,,,,Katy Perry - Hot n Cold,Now's a dead... battery,Agora é uma... bateria morta
battle,n.,B1,,,,,,,,Lady Gaga - Stupid Love,I would battle for you (Even if I break in two),Eu lutaria por você (mesmo que eu me partisse em dois)
battle,v.,B2,,,,,,,,Lady Gaga - Stupid Love,I would battle for you (Even if I break in two),Eu lutaria por você (mesmo que eu me partisse em dois)
battlefield,n.,C1,,,,,,,,,,
bay,n.,C1,,,,,,,,Katy Perry - California Gurls (feat. Snoop Dogg),I love the bay,Eu amo a baía
be,auxiliary v.,A1,,,,,,,,Gravagerz - Help Me Lose My Mind,Jealousy will be washed over,O ciúme será lavado
beach,n.,A1,,,,,,,,Jubël - Weekend Vibe,"On Ocean drive, Miami Beach","Em Ocean Drive, Miami Beach"
beam,n.,C1,,,,,,,,,,
bean,n.,A2,,,,,,,,,,
bear (animal),n.,A2,,,,,,,,,,
bear (deal with),v.,B2,,,,,,,,,,
beast,n.,C1,,,,,,,,Katy Perry - Dark Horse (feat. Juicy J),"Uh, she's a beast","Uh, ela é uma fera"
beat,v.,A2,,,,,,,,Conan Gray - Overdrive,"Fast lane on the beat, go ten-five, ten-five","Pista rápida na batida, vá dez-cinco, dez-cinco"
beat,n.,B2,,,,,,,,Conan Gray - Overdrive,"Fast lane on the beat, go ten-five, ten-five","Pista rápida na batida, vá dez-cinco, dez-cinco"
beautiful,adj.,A1,,,,,,,,INNERVERSE - Reverie,Like a beautiful wave,Como uma bela onda
beauty,n.,B1,,,,,,,,Katy Perry - Dark Horse (feat. Juicy J),She can be my Sleeping Beauty,Ela pode ser a minha Bela Adormecida
because,conj.,A1,,,,,,,,INNERVERSE - Reverie,Because you give it meaning,Porque lhe dás significado
become,v.,A1,,,,,,,,Gravagerz - Help Me Lose My Mind,Then I'll find what you've become,Então vou encontrar o que se tornou
bed,n.,A1,,,,,,,,Normani - Motivation,Fallin' into the bed,Cair na cama
bedroom,n.,A1,,,,,,,,Jason Derulo - Take You Dancing,Two-step to the bedroom,Dois passos para o quarto
bee,n.,B1,,,,,,,,Sabrina Carpenter - Espresso,"My honey bee, come and get this pollen","Minha abelha, venha buscar este pólen"
beef,n.,A2,,,,,,,,,,
beer,n.,A1,,,,,,,,Surf Mesa - Carried Away (Love To Love) (with Madison Beer),Surf Mesa — Carried Away (Love To Love) (with Madison Beer),Surf Mesa — Carried Away (Love To Love) (com cerveja Madison)
before,prep.,A1,,,,,,,,Gravagerz - Help Me Lose My Mind,Make me wonder what I felt before,Faz-me pensar no que senti antes
before,adv.,A2,,,,,,,,Gravagerz - Help Me Lose My Mind,Make me wonder what I felt before,Faz-me pensar no que senti antes
beg,v.,B2,,,,,,,,Alex Guesta - My Addiction,"Two, then I beg you come back","Dois, então eu imploro que volte"
begin,v.,A1,,,,,,,,Katy Perry - Resilient (ft. Aitana) [Tiësto Remix],Let's begin a revolution,Vamos começar uma revolução
beginning,n.,A1,,,,,,,,Jethro Heston - Cut Me Loose - Edit,Tell me what is the problem and that's only beginning,Diga-me qual é o problema e isso está apenas começando
behalf,n.,C1,,,,,,,,,,
behave,v.,A2,,,,,,,,DJ Katch - You're Makin' Me High,"Oh, the way you know just how my body wants to behave","Ah, a maneira como você sabe como o meu corpo quer se comportar"
behaviour,n.,A2,,,,,,,,,,
behind,adv.,A1,,,,,,,,James Smith - Hollow - EMBERS Remix,"Yeah, you left me here behind, without a reason why","Sim, você me deixou aqui para trás, sem uma razão"
being,n.,B2,,,,,,,,Aexcit - Never Be Like You,What I would do to take away this fear of being loved,O que eu faria para tirar esse medo de ser amado
belief,n.,B1,,,,,,,,Alok - All By Myself,I lost my own belief,Eu perdi a minha própria crença
believe,v.,A1,,,,,,,,Aexcit - Never Be Like You,"Baby, baby, please believe me","Querida, querida, por favor, acredite em mim"
bell,n.,B1,,,,,,,,Billie Eilish - BLUE,Ring the bell then I leave,Toque a campainha e eu saio
belong,v.,A2,,,,,,,,Halsey - Hurricane,"Don't belong to no city, don't belong to no man","Não pertence a nenhuma cidade, não pertence a nenhum homem"
beloved,adj.,C1,,,,,,,,,,
below,prep.,A1,,,,,,,,Don Diablo - Believe,The land below me cracks and tears,A terra abaixo de mim racha e rasga
belt,n.,A2,,,,,,,,Mr. Belt & Wezol - It's Not Right But It's Okay,Mr. Belt & Wezol — It's Not Right But It's Okay,"Sr. Belt & Wezol — Não está certo, mas está tudo bem"
bench,n.,C1,,,,,,,,Taylor Swift - You Belong With Me,Laughing on the park bench thinkin to myself,Rindo no banco do parque pensando comigo mesmo
benchmark,n.,C1,,,,,,,,,,
bend,n.,B1,,,,,,,,CamelPhat - Breathe,But I won't bend,Mas eu não vou dobrar
beneath,prep.,C1,,,,,,,,Tiësto - Ritual,Beneath the sheets,Debaixo dos lençóis
beneficial,adj.,B2,,,,,,,,,,
beneficiary,n.,C1,,,,,,,,,,
benefit,n.,A2,,,,,,,,,,
benefit,v.,B1,,,,,,,,,,
bent,adj.,B2,,,,,,,,Arlo Parks - Weightless,But here I am at ninety degrees bent,Mas aqui estou eu com noventa graus de inclinação
beside,prep.,B2,,,,,,,,Mariah Carey - We Belong Together,Sitting here beside myself,Sentado aqui ao meu lado
besides,adv.,B2,,,,,,,,,,
best,adj.,A1,,,,,,,,5 Seconds of Summer - Easier - Seeb Remix,That's when you get the very best of me,É quando tiras o melhor de mim
best,n.,A2,,,,,,,,5 Seconds of Summer - Easier - Seeb Remix,That's when you get the very best of me,É quando tiras o melhor de mim
bet,n.,B2,,,,,,,,Little Mix - Wasabi,"Oh-oh, ""I bet they gonna break up""","Oh-oh, ""Aposto que eles vão acabar"""
betray,v.,C1,,,,,,,,,,
better,adj.,A1,,,,,,,,INNERVERSE - Life with You,I better do something soon,É melhor eu fazer algo em breve
better,adv.,A2,,,,,,,,INNERVERSE - Life with You,I better do something soon,É melhor eu fazer algo em breve
better,n.,B1,,,,,,,,INNERVERSE - Life with You,I better do something soon,É melhor eu fazer algo em breve
between,prep.,A1,,,,,,,,Selena Gomez - Boyfriend,There's a difference between a want and a need,Há uma diferença entre um desejo e uma necessidade
between,adv.,A2,,,,,,,,Selena Gomez - Boyfriend,There's a difference between a want and a need,Há uma diferença entre um desejo e uma necessidade
beyond,adv.,B2,,,,,,,,Winona Oak - Oxygen,I'm beyond repair,Estou além do reparo
bias,n.,B2,,,,,,,,,,
bicycle,n.,A1,,,,,,,,Ariana Grande - Side to Side (feat. Nicki Minaj),"Wrist icicle, ride dick bicycle","Pulso gelado, bicicleta ride dick"
bid,v.,B2,,,,,,,,Evanescence feat. Paul McCoy - Bring Me to Life,Bid my blood to run,Lance meu sangue para correr
big,adj.,A1,,,,,,,,Ariana Grande - 7 rings,"Make big deposits, my gloss is poppin'","Faça grandes depósitos, o meu brilho está aestourar"
bike,n.,A1,,,,,,,,,,
bill,n.,A1,,,,,,,,James Arthur - Car's Outside,I would run up my phone bill,Eu aumentaria a minha conta de telefone
bill,v.,B2,,,,,,,,James Arthur - Car's Outside,I would run up my phone bill,Eu aumentaria a minha conta de telefone
billion,number,A2,,,,,,,,Glass Animals - A Tear in Space (Airlock),"Water, like billion waves","Água, como mil milhões de ondas"
bin,n.,A2,,,,,,,,,,
bind,v.,C1,,,,,,,,,,
biography,n.,C1,,,,,,,,,,
biological,adj.,B2,,,,,,,,Lady Gaga - 911,This is biological stasis,Esta é a estase biológica
biology,n.,A2,,,,,,,,,,
bird,n.,A1,,,,,,,,BLACKPINK - How You Like That,"Look up in the sky, it's a bird, it's a plane","Olhe para o céu, é um pássaro, é um avião"
birth,n.,A2,,,,,,,,,,
birthday,n.,A1,,,,,,,,Halsey - Sorry,But I still know your birthday,Mas eu ainda sei o seu aniversário
biscuit,n.,A2,,,,,,,,,,
bishop,n.,C1,,,,,,,,,,
bit,n.,A2,,,,,,,,Y2K - Lalala - Remix - [feat. Enrique Iglesias & Carly Rae Jepsen],Just a little bit of lockjaw,Só um pouco de mandíbula
bite,n.,B1,,,,,,,,Lady Gaga - Sour Candy (with BLACKPINK),"Take a bite, take a bite","Dê uma mordida, dê uma mordida"
bitter,adj.,B2,,,,,,,,Taylor Swift - Mean,Washed up and ranting about the same old bitter things,Lavado e reclamando sobre as mesmas velhas coisas amargas
bizarre,adj.,C1,,,,,,,,,,
black,n.,A1,,,,,,,,Ariana Grande - 7 rings,Black card is my business card,Cartão preto é o meu cartão de visita
blade,n.,C1,,,,,,,,Ed Sheeran - Celestial,Hearts balanced on a razor blade,Corações equilibrados numa lâmina de barbear
blame,n.,B2,,,,,,,,Steve Aoki - Let It Be Me,"If we fall, then you can blame it all on me","Se cairmos, então pode culpar-me a mim"
blank,n.,A2,,,,,,,,PVRIS - Hallucinations,I see your face in blank spaces,Eu vejo o seu rosto em espaços em branco
